date,product,quantity
2016-01-31,Brake Pads,76
2016-02-01,Brake Pads,54
2016-02-02,Brake Pads,61
2016-02-03,Brake Pads,63
2016-02-04,Brake Pads,70
2016-02-05,Brake Pads,85
2016-02-06,Brake Pads,84
2016-02-07,Brake Pads,87
2016-02-08,Brake Pads,58
2016-02-09,Brake Pads,58
2016-02-10,Brake Pads,56
2016-02-11,Brake Pads,85
2016-02-12,Brake Pads,81
2016-02-13,Brake Pads,75
2016-02-14,Brake Pads,90
2016-02-15,Brake Pads,59
2016-02-16,Brake Pads,64
2016-02-17,Brake Pads,60
2016-02-18,Brake Pads,64
2016-02-19,Brake Pads,78
2016-02-20,Brake Pads,88
2016-02-21,Brake Pads,84
2016-02-22,Brake Pads,58
2016-02-23,Brake Pads,74
2016-02-24,Brake Pads,78
2016-02-25,Brake Pads,79
2016-02-26,Brake Pads,72
2016-02-27,Brake Pads,81
2016-02-28,Brake Pads,74
2016-02-29,Brake Pads,42
2016-03-01,Brake Pads,90
2016-03-02,Brake Pads,82
2016-03-03,Brake Pads,75
2016-03-04,Brake Pads,80
2016-03-05,Brake Pads,97
2016-03-06,Brake Pads,86
2016-03-07,Brake Pads,49
2016-03-08,Brake Pads,69
2016-03-09,Brake Pads,81
2016-03-10,Brake Pads,71
2016-03-11,Brake Pads,100
2016-03-12,Brake Pads,93
2016-03-13,Brake Pads,102
2016-03-14,Brake Pads,62
2016-03-15,Brake Pads,91
2016-03-16,Brake Pads,85
2016-03-17,Brake Pads,88
2016-03-18,Brake Pads,73
2016-03-19,Brake Pads,96
2016-03-20,Brake Pads,103
2016-03-21,Brake Pads,87
2016-03-22,Brake Pads,87
2016-03-23,Brake Pads,53
2016-03-24,Brake Pads,77
2016-03-25,Brake Pads,84
2016-03-26,Brake Pads,93
2016-03-27,Brake Pads,90
2016-03-28,Brake Pads,66
2016-03-29,Brake Pads,92
2016-03-30,Brake Pads,87
2016-03-31,Brake Pads,80
2016-04-01,Brake Pads,113
2016-04-02,Brake Pads,101
2016-04-03,Brake Pads,123
2016-04-04,Brake Pads,70
2016-04-05,Brake Pads,106
